"You understand and agree that the content of this document reflects order(s) placed / transaction(s) executed by you, and is solely provided for your own general information. This document does not constitute any financial, investment, legal, tax or any other advice. This document is available to you on an 'as-is' basis only, and Crypto.com is not liable for your amendment(s) to this document after export."
"Export contains maximum 65,000 data, older data after the limit will be excluded. Please review the records and adjust date range to export again to capture any additional data."
Export Date: 2025-10-31T10:23:25.471869Z[UTC]
Order ID,Time (UTC),Pair,Order Type,Side,Order Amount,Average Price,Deal Volume,Total,Trigger Condition,Status
5755600473371374282,2025-10-05 23:24:46.118,LDO_USD,STOP_LIMIT,SELL,17000.0,0,0.0,0.0000,1.1000,CANCELED
5755600473371279886,2025-10-05 23:22:33.230,ADA_USD,STOP_LIMIT,SELL,26400.0,0,0.0,0.00000,0.79000,CANCELED
5755600473371149469,2025-10-05 23:18:57.919,ADA_USD,LIMIT,SELL,13216.5,0,0.0,0.00000,0.00000,CANCELED
5755600473371048039,2025-10-05 23:17:09.195,LDO_USD,LIMIT,SELL,8499.7,1.2850,8499.7,10922.1145,0.0000,FILLED
5755600473371007963,2025-10-05 23:16:28.906,LDO_USD,LIMIT,SELL,8499.6,1.2490,8499.6,10616.0004,0.0000,FILLED
5755600473370548639,2025-10-05 23:08:27.314,ADA_USD,LIMIT,BUY,11943.0,0.83731,11943.0,9999.99333,0.00000,FILLED
5755600473337052062,2025-10-05 14:49:45.043,LDO_USD,LIMIT,BUY,8481.7,1.1790,8481.7,9999.9243,0.0000,FILLED
5755600473336973057,2025-10-05 14:48:58.284,LDO_USD,LIMIT,BUY,8534.6,1.1717,8534.6,9999.9908,0.0000,FILLED
5755600473225388558,2025-10-05 10:52:47.000,LDO_USD,LIMIT,SELL,8280.8,1.1700,8280.8,9688.5360,1.1700,FILLED
5755600473225447981,2025-10-04 14:06:23.157,LDO_USD,LIMIT,SELL,8280.8,0,0.0,0.0000,0.0000,CANCELED
5755600473214382676,2025-10-04 11:13:05.651,ADA_USDT,MARKET,BUY,11.8,0.84181,11.8,9.93336,0.00000,CANCELED
5755600473214289901,2025-10-04 11:11:31.353,ADA_USDT,MARKET,BUY,11.8,0.84246,11.8,9.94103,0.00000,CANCELED
5755600473214287930,2025-10-04 11:11:31.053,AAVE_USDT,LIMIT,SELL,0.035,283.015,0.035,9.906,0.000,FILLED
5755600473214287352,2025-10-04 11:11:30.753,AAVE_USDT,LIMIT,SELL,0.035,297.290,0.035,10.405,0.000,FILLED
5755600473214286552,2025-10-04 11:11:30.150,AAVE_USDT,MARKET,BUY,0.035,283.103,0.035,9.909,0.000,CANCELED
5755600473214147597,2025-10-04 11:09:18.825,SUI_USDT,LIMIT,SELL,1.0,3.49906,1.0,3.49906,0.00000,FILLED
5755600473214147274,2025-10-04 11:09:18.526,SUI_USDT,LIMIT,SELL,2.0,3.67000,2.0,7.34000,0.00000,FILLED
5755600473214146775,2025-10-04 11:09:17.863,SUI_USDT,MARKET,BUY,2.8,3.49946,2.8,9.79849,0.00000,CANCELED
5755600473214134082,2025-10-04 11:09:05.638,XRP_USDT,MARKET,BUY,3.3,2.9879,3.3,9.8601,0.0000,CANCELED
5755600473214126722,2025-10-04 11:08:58.598,DOT_USDT,MARKET,BUY,2.37,4.2044,2.37,9.9644,0.0000,CANCELED
5755600473213946967,2025-10-04 11:06:01.832,SUI_USDT,LIMIT,SELL,2.0,3.68000,2.0,7.36000,0.00000,FILLED
5755600473213946331,2025-10-04 11:06:01.247,SUI_USDT,MARKET,BUY,2.8,3.50292,2.8,9.80818,0.00000,CANCELED
5755600473213945361,2025-10-04 11:06:00.351,ALGO_USDT,MARKET,BUY,45,0.21929,45,9.86805,0.00000,CANCELED
5755600473213937096,2025-10-04 11:05:53.187,LDO_USDT,MARKET,BUY,8.3,1.2043,8.3,9.9953,0.0000,CANCELED
5755600473213935417,2025-10-04 11:05:52.251,XRP_USDT,MARKET,BUY,3.3,2.9903,3.3,9.8679,0.0000,CANCELED
5755600473213922774,2025-10-04 11:05:45.154,DOT_USDT,MARKET,BUY,2.37,4.2087,2.37,9.9746,0.0000,CANCELED
5755600473213922231,2025-10-04 11:05:44.807,AAVE_USDT,LIMIT,SELL,0.035,283.431,0.035,9.920,0.000,FILLED
5755600473213921903,2025-10-04 11:05:44.497,AAVE_USDT,LIMIT,SELL,0.035,297.670,0.035,10.418,0.000,FILLED
5755600473213921258,2025-10-04 11:05:43.870,AAVE_USDT,MARKET,BUY,0.035,283.595,0.035,9.926,0.000,CANCELED
5755600473213912869,2025-10-04 11:05:37.650,ADA_USDT,MARKET,BUY,11.8,0.84404,11.8,9.95966,0.00000,CANCELED
5755600473213844973,2025-10-04 11:04:53.323,NEAR_USDT,MARKET,BUY,3.4,2.9322,3.4,9.9695,0.0000,CANCELED
5755600473213819557,2025-10-04 11:04:41.132,APT_USDT,MARKET,BUY,1.92,5.2073,1.92,9.9980,0.0000,CANCELED
5755600473211949682,2025-10-04 10:38:44.326,XRP_USDT,MARKET,BUY,3.3,2.9890,3.3,9.8637,0.0000,CANCELED
5755600473211947529,2025-10-04 10:38:43.480,LDO_USDT,MARKET,BUY,8.3,1.1997,8.3,9.9572,0.0000,CANCELED
5755600473210657784,2025-10-04 10:17:22.437,SUI_USDT,MARKET,BUY,2.8,3.51070,2.8,9.82996,0.00000,CANCELED
5755600473210398418,2025-10-04 10:12:35.060,LDO_USDT,MARKET,BUY,8.2,1.2088,8.2,9.9122,0.0000,CANCELED
5755600473209993266,2025-10-04 10:05:36.087,SUI_USDT,MARKET,BUY,2.8,3.51824,2.8,9.85107,0.00000,CANCELED
5755600473209978612,2025-10-04 10:05:24.401,ADA_USDT,MARKET,BUY,11.7,0.84751,11.7,9.91587,0.00000,CANCELED
5755600473209038983,2025-10-04 09:52:15.816,DOT_USDT,MARKET,BUY,2.37,4.2170,2.37,9.9944,0.0000,CANCELED
5755600473206325847,2025-10-04 09:05:36.487,AAVE_USDT,LIMIT,SELL,0.035,284.515,0.035,9.958,0.000,FILLED
5755600473206325599,2025-10-04 09:05:36.210,AAVE_USDT,LIMIT,SELL,0.035,298.830,0.035,10.459,0.000,FILLED
5755600473206324588,2025-10-04 09:05:35.430,AAVE_USDT,MARKET,BUY,0.035,284.647,0.035,9.963,0.000,CANCELED
5755600473206323916,2025-10-04 09:05:34.546,ADA_USDT,MARKET,BUY,11.7,0.84793,11.7,9.92075,0.00000,CANCELED
5755600473206257930,2025-10-04 09:04:54.798,ALGO_USDT,MARKET,BUY,45,0.22018,45,9.90810,0.00000,CANCELED
5755600473205308694,2025-10-04 08:50:14.061,ALGO_USDT,MARKET,BUY,45,0.22042,45,9.91905,0.00000,CANCELED
5755600473205010452,2025-10-04 08:46:14.980,XRP_USDT,MARKET,BUY,3.3,2.9987,3.3,9.8957,0.0000,CANCELED
5755600473202971034,2025-10-04 08:18:25.823,ADA_USDT,LIMIT,SELL,11.7,0.84969,11.7,9.94137,0.00000,FILLED
5755600473202970668,2025-10-04 08:18:25.504,ADA_USDT,LIMIT,SELL,11.7,0,0.0,0.00000,0.00000,CANCELED
5755600473202965280,2025-10-04 08:18:19.542,ADA_USDT,MARKET,BUY,11.7,0.84978,11.7,9.94243,0.00000,CANCELED
5755600473201934980,2025-10-04 08:03:20.570,ALGO_USDT,LIMIT,SELL,44,0.22147,44,9.74464,0.00000,FILLED
5755600473201934691,2025-10-04 08:03:20.310,ALGO_USDT,LIMIT,SELL,44,0,0,0.00000,0.00000,CANCELED
5755600473201933849,2025-10-04 08:03:19.379,ALGO_USDT,MARKET,BUY,45,0.22163,45,9.97335,0.00000,CANCELED
5755600473201664660,2025-10-04 07:58:48.603,ADA_USDT,MARKET,BUY,11.7,0.85294,11.7,9.97939,0.00000,CANCELED
5755600473200961293,2025-10-04 07:47:10.883,BONK_USDT,MARKET,BUY,460000,0.000020000,460000,9.832500000,0.000000000,CANCELED
5755600473200455512,2025-10-04 07:38:24.057,CRO_USDT,MARKET,BUY,46,0.21332,46,9.81272,0.00000,CANCELED
5755600473180865251,2025-10-04 02:26:59.123,LDO_USD,LIMIT,BUY,8264.4,1.2100,8264.4,9999.9240,0.0000,FILLED
5755600473179069377,2025-10-04 02:05:49.153,EUR_USDT,MARKET,BUY,9000.0,1.17465,9000.0,10571.85301,0.00000,FILLED
